name,version,url,checksum,description,author
test,1.0,https://github.com/minepy-sideclient/UPPM-PackStream/raw/main/C:\Users\Main\Downloads\UPPM/logo.png,8f7ce8c16ec4ce8afc25752430a8786b58ca1683ce2b9946b20e1df18ccbf52b,test,Minepy(tm)
ed,de,https://github.com/minepy-sideclient/UPPM-PackStream/raw/main/C:\Users\Main\Downloads\UPPM/logo1.png,6de4212ef32792bbac4d30c001241703a5a13a39e552b715b7d25772e0548108,de,minepy(tm)
fr,123,https://github.com/minepy-sideclient/UPPM-PackStream/raw/main/src/trialxxx/logo1.png,6de4212ef32792bbac4d30c001241703a5a13a39e552b715b7d25772e0548108,lesex,trial(tm),src/trialxxx/logo1.png
UPPM_0.1.2,0.1.2,https://github.com/minepy-sideclient/UPPM-PackStream/raw/main/src/try(UPPM)/UPPM_bash.exe,b9245446f52d4736bfcdcd9440890b2069ac4df4a35b1ba4be196e3acca02739,this is a test please donot install UPPM from here!,MinePY(TM),src/try(UPPM)/UPPM_bash.exe
UPPM,0.1.3,https://github.com/minepy-sideclient/UPPM-PackStream/raw/main/src/UPPM_Trial/UPPM_bash.exe,b9245446f52d4736bfcdcd9440890b2069ac4df4a35b1ba4be196e3acca02739,this is a test please do not download UPPM from here (go to releases!),Minepy(TM),src/UPPM_Trial/UPPM_bash.exe
UPPM,0.1.4,https://github.com/minepy-sideclient/UPPM-PackStream/raw/main/src/UPPM/UPPM.exe,23bf28c6fd957679e876f10d423de442723b6a988850f1ca43689e0aaac293b8,The UPPM package manager (Universal python package manager) for windows!,MinePy(tm),src/UPPM/UPPM.exe
UPPM,0.1.4,https://github.com/minepy-sideclient/UPPM-PackStream/raw/main/src/UPPM/UPPM.exe,23bf28c6fd957679e876f10d423de442723b6a988850f1ca43689e0aaac293b8,the UPPM package manager,MinePy(tm),src/UPPM/UPPM.exe
UPPM,0.1.4,https://github.com/minepy-sideclient/UPPM-PackStream/raw/main/src/UPPM/UPPM.exe,23bf28c6fd957679e876f10d423de442723b6a988850f1ca43689e0aaac293b8,the UPPM package manager (deprecated),MinePy(tm),src/UPPM/UPPM.exe
UPPM,0.1.4,https://github.com/minepy-sideclient/UPPM-PackStream/raw/main/src/UPPM/UPPM.exe,23bf28c6fd957679e876f10d423de442723b6a988850f1ca43689e0aaac293b8,"UPPM package manager (deprecated, install from releases)",MinePy,src/UPPM/UPPM.exe
UPPM,0.1.4,https://github.com/minepy-sideclient/UPPM-PackStream/raw/main/src/UPPM/UPPM.exe,23bf28c6fd957679e876f10d423de442723b6a988850f1ca43689e0aaac293b8,the UPPM package manager (deprecated) (use releases instead),MinePy(tm),src/UPPM/UPPM.exe
Photoshop,2025,https://github.com/minepy-sideclient/UPPM-PackStream/raw/main/src/PhotoShop/convert.exe,968f9fd3bcda1e6d571310e92609fd7bea692bd5edf5ebc1b310b4c340e0f30e,Photoshop is a prgram made to modify photos in a professional way,Adobe(R),src/PhotoShop/convert.exe
Photoshop,2025,https://github.com/minepy-sideclient/UPPM-PackStream/raw/main/src/Photoshop/convert.exe,968f9fd3bcda1e6d571310e92609fd7bea692bd5edf5ebc1b310b4c340e0f30e,You know what photosho is,Adobe,src/Photoshop/convert.exe
